SNo,ObservationDate,Province/State,Country/Region,Confirmed,Deaths,Recovered
74576,07/29/2020,,Kenya,19125,311,8021
75319,07/30/2020,,Kenya,19913,325,8121
76062,07/31/2020,,Kenya,20636,341,8165
76805,08/01/2020,,Kenya,21363,364,8419
77548,08/02/2020,,Kenya,22053,369,8477
78291,08/03/2020,,Kenya,22597,382,8740
79034,08/04/2020,,Kenya,23202,388,9327
79777,08/05/2020,,Kenya,23873,391,9930
80520,08/06/2020,,Kenya,24411,399,10444
81263,08/07/2020,,Kenya,25138,413,11118
82006,08/08/2020,,Kenya,25837,418,11899
82749,08/09/2020,,Kenya,26436,420,12961
83492,08/10/2020,,Kenya,26928,423,13495
